,user,text,favorite_count,retweet_count,created_at
144,FoxNews,Gianno Caldwell slams NAACP over Florida travel advisory: 'Put one out in Chicago' https://t.co/p5mLYaDxw8,348,49,2023-05-23 15:25:03+00:00
145,FoxNews,"Arizona Gov. Katie Hobbs vetoes bill banning use of names, pronouns trans students identify by https://t.co/L1qJkDqemd",78,9,2023-05-23 15:24:20+00:00
146,FoxNews,'ENOUGH IS ENOUGH': Utah mayor announces bid to take Romney's Senate seat https://t.co/eJc7uQeqGl,1539,204,2023-05-23 15:20:11+00:00
147,FoxNews,"Civil rights activist and member of both California's and San Francisco's reparations task forces defends massive payment proposals
https://t.co/ww02OhCwA3 https://t.co/INX6W8YuaW",301,77,2023-05-23 15:15:05+00:00
148,FoxNews,Illinois man stuck in Alaska mud flats drowns as tide comes in https://t.co/AvoF1kLx0C,39,8,2023-05-23 15:11:10+00:00
149,FoxNews,Bernice King says father MLK 'would be deeply concerned' about Florida policies https://t.co/3EjMcgY1MF,188,28,2023-05-23 15:07:12+00:00
150,FoxNews,"'THEY LET HER DOWN': Heartbroken mom of 20-year-old who was allegedly killed by MS-13 gang member sends fiery message to Biden
https://t.co/DxNVUUAHSn https://t.co/Ms4RHEArJI",1151,342,2023-05-23 15:00:05+00:00
151,FoxNews,Guardians outfielder accidentally kills bird with second-inning single: ‘An unfortunate sacrifice’ https://t.co/hV4nDfN5jM,30,4,2023-05-23 15:00:03+00:00
152,FoxNews,Youngkin ad declares ‘parents still matter’ amid 2024 speculation https://t.co/470qkuGdhJ,117,18,2023-05-23 14:50:12+00:00
153,FoxNews,FBI refuses to provide subpoenaed document on alleged Biden 'criminal scheme' https://t.co/6sNxEyuNVK,274,155,2023-05-23 14:45:04+00:00
154,FoxNews,"Alabama police chief did not steal overtime pay, prosecutors say https://t.co/2xeEC5st6k",29,8,2023-05-23 14:40:07+00:00
155,FoxNews,LeBron James floats retirement after Lakers eliminated from playoffs: 'We’ll see what happens going forward' https://t.co/JS7EyIyhqw,72,8,2023-05-23 14:35:07+00:00
156,FoxNews,"'Brady Bunch' star Susan Olsen spills on cast rumors, Anna Nicole Smith's life examined in new doc https://t.co/8H7G8pe5G4",51,10,2023-05-23 14:31:20+00:00
157,FoxNews,House Judiciary report faults Biden admin for release of alleged MS-13 member now charged with murder https://t.co/4brF40HQpJ,331,103,2023-05-23 14:25:13+00:00
158,FoxNews,"US Border Patrol agents who killed a tribal member in Arizona were responding to gunfire reports, agency says https://t.co/LQlzXhCPcP",46,15,2023-05-23 14:20:09+00:00
159,FoxNews,Two police officers shot during residence search in New York https://t.co/bT2tVFWXuj,53,19,2023-05-23 14:15:06+00:00
160,FoxNews,"DC student shot outside prep school, prompting temporary lockdown https://t.co/jb8mifCBC5",46,22,2023-05-23 14:10:09+00:00
